"city","state_id","state_name","county_name"
"Prairie Ridge","WA","Washington","Pierce"
"Edison","WA","Washington","Skagit"
"Packwood","WA","Washington","Lewis"
"Wautauga Beach","WA","Washington","Kitsap"
"Harper","WA","Washington","Kitsap"
"Telma","WA","Washington","Chelan"
"Kahlotus","WA","Washington","Franklin"
"Mondovi","WA","Washington","Lincoln"
"Washtucna","WA","Washington","Adams"
"Pleasant Hill","WA","Washington","King"
"Toledo","WA","Washington","Lewis"
"Wabash","WA","Washington","King"
"Renton","WA","Washington","King"
"Chehalis","WA","Washington","Lewis"
"Central Valley","WA","Washington","Kitsap"
"Lake City","WA","Washington","Pierce"
"Megler","WA","Washington","Pacific"
"Alder","WA","Washington","Pierce"
"Ronald","WA","Washington","Kittitas"
"Belvedere","WA","Washington","Okanogan"
"Waverly","WA","Washington","Spokane"
"Turner Corner","WA","Washington","Snohomish"
"Lofall","WA","Washington","Kitsap"
"Kennydale","WA","Washington","King"
"Easton","WA","Washington","Kittitas"
"Navy Yard City","WA","Washington","Kitsap"
"Mercer Island","WA","Washington","King"
"Lynnwood","WA","Washington","Snohomish"
"Coulee City","WA","Washington","Grant"
"Douglas","WA","Washington","Douglas"
"Centralia","WA","Washington","Lewis"
"Colbert","WA","Washington","Spokane"
"Bryn Mawr","WA","Washington","King"
"Silverdale","WA","Washington","Kitsap"
"Lyle","WA","Washington","Klickitat"
"Malott","WA","Washington","Okanogan"
"Mountlake Terrace","WA","Washington","Snohomish"
"Ilwaco","WA","Washington","Pacific"
"Fairwood","WA","Washington","King"
"Warm Beach","WA","Washington","Snohomish"
"Thomas","WA","Washington","King"
"Parker","WA","Washington","Yakima"
"Steptoe","WA","Washington","Whitman"
"Vail","WA","Washington","Thurston"
"Magnolia Beach","WA","Washington","King"
"Lakeview","WA","Washington","Pierce"
"Shaw Island","WA","Washington","San Juan"
"Oakesdale","WA","Washington","Whitman"
"Rosburg","WA","Washington","Wahkiakum"
"Seattle","WA","Washington","King"
"Onalaska","WA","Washington","Lewis"
"George","WA","Washington","Grant"
"Index","WA","Washington","Snohomish"
"Winchester","WA","Washington","Grant"
"Chelatchie","WA","Washington","Clark"
"Allentown","WA","Washington","King"
"Novelty","WA","Washington","King"
"Rosalia","WA","Washington","Whitman"
"Richmond Beach","WA","Washington","King"
"Lakota","WA","Washington","King"
"Liberty Lake","WA","Washington","Spokane"
"Airway Heights","WA","Washington","Spokane"
"Reardan","WA","Washington","Lincoln"
"Silvana","WA","Washington","Snohomish"
"Brier","WA","Washington","Snohomish"
"Robe","WA","Washington","Snohomish"
"Elk Plain","WA","Washington","Pierce"
"Port Townsend","WA","Washington","Jefferson"
"Ocean City","WA","Washington","Grays Harbor"
"Boulevard Park","WA","Washington","King"
"Newhalem","WA","Washington","Whatcom"
"Ford","WA","Washington","Stevens"
"Waterville","WA","Washington","Douglas"
"Quinault","WA","Washington","Grays Harbor"
"Humptulips","WA","Washington","Grays Harbor"
"Hamilton","WA","Washington","Skagit"
"Oak Harbor","WA","Washington","Island"
"Naches","WA","Washington","Yakima"
"Anacortes","WA","Washington","Skagit"
"Kettle Falls","WA","Washington","Stevens"
"Walnut Grove","WA","Washington","Clark"
"Salkum","WA","Washington","Lewis"
"Cunningham","WA","Washington","Adams"
"Irby","WA","Washington","Lincoln"
"Electric City","WA","Washington","Grant"
"Burbank","WA","Washington","Walla Walla"
"Silver Lake","WA","Washington","Cowlitz"
"Dash Point","WA","Washington","Pierce"
"Woods Creek","WA","Washington","Snohomish"
"McKenna","WA","Washington","Pierce"
"Island View","WA","Washington","Benton"
"Kalama","WA","Washington","Cowlitz"
"Grandview","WA","Washington","Yakima"
"Winthrop","WA","Washington","Okanogan"
"Maltby","WA","Washington","Snohomish"
"Spangle","WA","Washington","Spokane"
"Blanchard","WA","Washington","Skagit"
"Artondale","WA","Washington","Pierce"
"May Creek","WA","Washington","Snohomish"
"Home","WA","Washington","Pierce"
"Vashon","WA","Washington","King"
"Snoqualmie Falls","WA","Washington","King"
"Laurier","WA","Washington","Ferry"
"Quincy","WA","Washington","Grant"
"Lake McMurray","WA","Washington","Skagit"
"Martha Lake","WA","Washington","Snohomish"
"Ariel","WA","Washington","Cowlitz"
"Loon Lake","WA","Washington","Stevens"
"Thornton","WA","Washington","Whitman"
"Starbuck","WA","Washington","Columbia"
"Mirrormont","WA","Washington","King"
"Kelso","WA","Washington","Cowlitz"
"Meadowdale","WA","Washington","Snohomish"
"Cottage Lake","WA","Washington","King"
"Cheney","WA","Washington","Spokane"
"Woodway","WA","Washington","Snohomish"
"Lacey","WA","Washington","Thurston"
"Harrah","WA","Washington","Yakima"
"Allyn","WA","Washington","Mason"
"South Bend","WA","Washington","Pacific"
"Barstow","WA","Washington","Ferry"
"Tiger","WA","Washington","Pend Oreille"
"Warden","WA","Washington","Grant"
"Junction City","WA","Washington","Grays Harbor"
"Blyn","WA","Washington","Clallam"
"Lakebay","WA","Washington","Pierce"
"Tahuya","WA","Washington","Mason"
"Selah","WA","Washington","Yakima"
"Kitsap Lake","WA","Washington","Kitsap"
"Sultan","WA","Washington","Snohomish"
"Plain","WA","Washington","Chelan"
"Tanner","WA","Washington","King"
